Ranking,Team,Matches,Won,Lost,Tie,No Results,Points,Net Run Rate,Series Form,Next Match,For,Against
1,South Africa,7,6,1,0,0,12,2.290,LWWWW,"vs IND, AFG",2355/340.2,1588/343.0
2,India,6,6,0,0,0,12,1.405,WWWWW,"vs SL, SA, NED",1430/246.2,1320/300.0
3,Australia,6,4,2,0,0,8,0.970,LWWWW,"vs ENG, AFG, BAN",1745/285.2,1499/291.2
4,New Zealand,7,4,3,0,0,8,0.484,WWLLL,"vs PAK, SL",1964/329.1,1908/348.0
5,Pakistan,7,3,4,0,0,6,-0.024,LLLLW,"vs NZ, ENG",1884/330.5,1869/326.5
6,Afghanistan,6,3,3,0,0,6,-0.718,LWLWW,"vs NED, AUS, SA",1379/294.2,1457/269.4
7,Sri Lanka,6,2,4,0,0,4,-0.275,LLWWL,"vs IND, BAN, NZ",1543/274.0,1648/279.0
8,Netherlands,6,2,4,0,0,4,-1.277,LWLLW,"vs AFG, ENG, IND",1254/293.0,1619/291.2
9,Bangladesh,7,1,6,0,0,2,-1.446,LLLLL,"vs SL, AUS",1465/334.4,1845/316.5
10,England,6,1,5,0,0,2,-1.652,WLLLL,"vs AUS, NED, PAK",1316/300.0,1582/262.0
